FECHA,HORA,PRECIO,TERMICA,HIDRAULICA,SOLAR,COGENERADOR,EOLICA
2020-01-01,0,72.02,2109637.9299999997,4418103.51,0.0,28880.74,4291.34
2020-01-01,1,136.71,1864989.8,4548853.97,0.0,29107.370000000003,3511.94
2020-01-01,2,127.71,1720883.01,4525898.75,0.0,25939.870000000003,2641.9
2020-01-01,3,127.71,1649014.6099999999,4458645.5600000005,0.0,25651.57,3032.3
2020-01-01,4,127.71,1711745.3599999999,4279657.9,0.0,25245.37,2514.76
2020-01-01,5,72.02,1571431.28,4311552.05,0.0,22696.46,980.62
2020-01-01,6,72.02,1297795.61,4173921.34,2330.51,19751.120000000003,457.47
2020-01-01,7,72.02,1257262.31,4231331.52,23088.0,18429.91,0.0
2020-01-01,8,72.02,1339329.04,4334616.11,43158.979999999996,19297.62,526.95
2020-01-01,9,72.02,1486541.89,4437534.05,49153.18,19783.46,1515.43
2020-01-01,10,72.02,1595123.09,4586174.08,51812.44,19753.42,4933.15
2020-01-01,11,136.71,1722708.55,4602070.34,52682.42,19607.46,7218.37
2020-01-01,12,136.71,1767487.09,4656028.28,59994.27,20137.239999999998,8392.45
2020-01-01,13,136.71,1712427.72,4720150.27,55725.68,20073.45,12011.9
2020-01-01,14,136.71,1727563.62,4642865.04,36230.18,21393.86,12852.74
2020-01-01,15,136.67,1722740.1400000001,4608734.64,37596.86,20753.210000000003,13314.46
2020-01-01,16,127.71,1708603.21,4616000.78,25668.61,18312.850000000002,13453.22
2020-01-01,17,72.02,1962725.8599999999,4485505.55,2429.0699999999997,19259.6,11395.06
2020-01-01,18,183.93,2356473.6,4827886.12,0.0,18965.46,8379.58
2020-01-01,19,406.73,2366406.08,4951730.7299999995,0.0,18828.32,8463.07
2020-01-01,20,213.73,2303964.55,4915616.319999999,0.0,18840.41,8747.04
2020-01-01,21,213.73,2152222.7600000002,4830242.05,0.0,19014.75,6829.47
2020-01-01,22,213.73,2003214.6099999999,4712319.96,0.0,18978.72,4199.19
2020-01-01,23,136.71,1766312.0,4738151.85,0.0,18943.93,4904.14
2020-01-02,0,71.34,1608662.67,4585681.9799999995,0.0,19184.34,4908.48
2020-01-02,1,71.34,1508655.14,4466153.6,0.0,19342.06,3836.61
2020-01-02,2,71.34,1413968.65,4520386.1,0.0,20345.52,5343.35
2020-01-02,3,71.34,1369278.08,4470436.67,0.0,21123.41,3942.81
2020-01-02,4,71.34,1353049.36,4558570.93,0.0,25773.8,2363.15
2020-01-02,5,73.95,1363369.81,4643876.92,0.0,33832.09,2714.48
2020-01-02,6,73.95,1410056.71,4682971.61,3288.53,33666.84,2488.29
2020-01-02,7,137.88,1658742.7,4890822.39,29038.64,35174.619999999995,4079.79
2020-01-02,8,185.1,2200000.42,4846668.6,48902.259999999995,34765.63,8055.59
2020-01-02,9,387.9,2540918.97,4903393.71,57438.96000000001,34835.0,10587.86
2020-01-02,10,387.9,2666500.54,5155720.82,61405.66,35879.93,12762.81
2020-01-02,11,387.9,2880112.87,5178545.05,61684.130000000005,36511.97,12760.52
2020-01-02,12,307.9,2757841.59,5376544.11,55971.380000000005,31179.8,11097.25
2020-01-02,13,357.8,2819788.27,5351211.18,55186.77,17539.25,12797.99
2020-01-02,14,357.8,2900499.12,5208612.62,51769.64,17634.760000000002,13289.11
2020-01-02,15,357.8,2957444.07,5099294.67,48404.16,17964.59,12470.76
2020-01-02,16,357.8,2844673.46,5115315.38,25257.649999999998,17896.02,11227.67
2020-01-02,17,307.9,2691319.09,5178697.88,2581.1200000000003,18034.78,10015.91
2020-01-02,18,397.9,2886962.13,5711143.91,0.0,17925.019999999997,10856.87
2020-01-02,19,387.9,3046137.84,5674432.32,0.0,17913.63,11442.15
2020-01-02,20,357.8,2919062.56,5621210.28,0.0,17417.16,9641.15
2020-01-02,21,307.9,2691319.05,5501073.03,0.0,17387.57,9168.64
2020-01-02,22,307.9,2432578.42,5239231.69,0.0,17707.36,9987.34
2020-01-02,23,307.9,2151397.25,5007879.27,0.0,18020.47,8088.21
2020-01-03,0,116.31,1866019.08,5142507.0200000005,0.0,18171.46,3796.48
2020-01-03,1,116.31,1634476.19,5101684.95,0.0,16489.28,3202.77
2020-01-03,2,126.29,1506253.21,5052107.33,0.0,17512.92,3998.46
2020-01-03,3,126.29,1437489.06,5016406.73,0.0,17663.690000000002,2596.06
2020-01-03,4,135.29,1631759.8900000001,4905527.2,0.0,17350.17,2999.42
2020-01-03,5,126.29,1770896.47,4857919.09,0.0,18589.28,2984.6
2020-01-03,6,123.46,1894443.91,4745223.41,2904.53,26457.969999999998,1817.02
2020-01-03,7,275.31,2118958.15,4940097.27,29087.31,24620.18,748.36
2020-01-03,8,275.31,1992290.97,5435284.46,51018.78,30273.949999999997,1255.98
2020-01-03,9,275.31,1983569.25,5760720.97,58216.31,42089.97,5616.51
2020-01-03,10,275.31,2004838.51,6090825.29,61608.42,43801.76,8778.8
2020-01-03,11,275.31,1965688.36,6382063.74,62637.36,43954.62,9907.86
2020-01-03,12,275.31,2053064.81,6270367.43,62383.54000000001,46318.41,9464.09
2020-01-03,13,275.31,2124365.7,6253075.54,59104.34,46525.79,10087.24
2020-01-03,14,275.31,2156178.27,6302038.57,55163.8,57201.34,12399.62
2020-01-03,15,275.31,2151342.0,6270926.82,47400.78,67618.29,12481.92
2020-01-03,16,275.31,2145524.61,6093506.47,23793.68,84269.89,10874.25
2020-01-03,17,275.31,2148936.85,5927594.72,2693.8500000000004,100629.31,9756.62
2020-01-03,18,285.31,2190698.2,6611884.71,0.0,101008.98999999999,12478.39
2020-01-03,19,285.31,2209200.33,6767821.29,0.0,95879.13,14474.69
2020-01-03,20,275.31,2323133.2399999998,6399897.72,0.0,98158.26,9768.35
2020-01-03,21,275.31,2317655.65,6004935.91,0.0,100052.23,9143.98
2020-01-03,22,275.31,2207840.87,5589421.85,0.0,101855.25,10827.97
2020-01-03,23,275.31,2062105.2,5271496.01,0.0,102014.28,8748.66
2020-01-04,0,144.36,2031712.5,4829508.85,0.0,100506.56,0.0
2020-01-04,1,144.36,1939128.05,4610718.96,0.0,100659.89,0.0
2020-01-04,2,144.36,1967040.92,4374102.06,0.0,103947.42,0.0
2020-01-04,3,144.36,2016683.72,4269556.75,0.0,104148.87,0.0
2020-01-04,4,134.34,1912967.75,4336631.51,0.0,102872.07999999999,0.0
2020-01-04,5,144.36,1774829.04,4540003.78,0.0,98800.16,0.0
2020-01-04,6,134.34,1844000.27,4437385.59,3234.73,102560.45999999999,0.0
2020-01-04,7,144.36,1864275.41,4783803.99,31015.44,99907.28,0.0
2020-01-04,8,188.36,1872747.55,5283579.07,53055.07,98513.29000000001,0.0
2020-01-04,9,255.36,1880202.82,5668575.94,60594.21,98226.66,0.0
2020-01-04,10,255.36,1958460.91,5914691.89,62963.88,95902.89,0.0
2020-01-04,11,255.36,2012289.23,6060044.72,63765.31,95083.44,0.0
2020-01-04,12,255.36,2009567.73,6104264.56,62884.4,87854.39,0.0
2020-01-04,13,255.36,2024334.8800000001,5982061.0,60788.84,75505.11,0.0
2020-01-04,14,255.36,2050874.1,5893063.52,54478.19,77205.04,0.0
2020-01-04,15,255.36,2071667.82,5815900.29,46719.08,71912.43000000001,0.0
2020-01-04,16,255.36,2090127.93,5650766.72,29247.73,76454.82,0.0
2020-01-04,17,255.36,2362505.01,5395398.89,2770.8700000000003,76329.63,0.0
2020-01-04,18,255.36,2436079.1,6125988.86,0.0,74036.58,0.0
2020-01-04,19,255.36,2456395.66,6318038.46,0.0,74595.33,0.0
