Fecha,CARBON,GAS,GAS NI,COMBUSTOLEO
2020-01-01,130.459523,240.0756968,,585.0853441
2020-01-02,130.459523,240.0756968,,585.0853441
2020-01-03,130.459523,240.0756968,,585.0853441
2020-01-04,122.3708,238.169035,,585.0853441
2020-01-05,122.3708,238.169035,,585.0853441
2020-01-06,122.3708,238.169035,,585.0853441
2020-01-07,122.3708,238.169035,,585.0853441
2020-01-08,122.3708,238.169035,,585.0853441
2020-01-09,122.3708,238.169035,,585.0853441
2020-01-10,122.3708,238.169035,,585.0853441
2020-01-11,122.3708,237.0567445,,585.0853441
2020-01-12,122.3708,237.0567445,,585.0853441
2020-01-13,122.3708,237.0567445,,585.0853441
2020-01-14,122.3708,237.0567445,,585.0853441
2020-01-15,122.3708,237.0567445,,585.0853441
2020-01-16,122.3708,237.0567445,,585.0853441
2020-01-17,122.3708,237.0567445,,585.0853441
2020-01-18,122.3708,234.6538383,,585.0853441
2020-01-19,122.3708,234.6538383,,585.0853441
2020-01-20,122.3708,234.6538383,,585.0853441
2020-01-21,122.3708,234.6538383,,585.0853441
2020-01-22,122.3708,234.6538383,,585.0853441
2020-01-23,122.3708,234.6538383,,585.0853441
2020-01-24,122.3708,234.6538383,,585.0853441
2020-01-25,122.3708,237.0359568,,590.1681986
2020-01-26,122.3708,237.0359568,,590.1681986
2020-01-27,122.3708,237.0359568,,590.1681986
2020-01-28,122.3708,237.0359568,,590.1681986
2020-01-29,122.3708,237.0359568,,590.1681986
2020-01-30,122.3708,237.0359568,,590.1681986
2020-01-31,122.3708,237.0359568,,590.1681986
2020-02-01,115.137847,248.7627185,,602.3140051
2020-02-02,115.137847,248.7627185,,590.1681986
2020-02-03,115.137847,248.7627185,,590.1681986
2020-02-04,115.137847,248.7627185,,590.1681986
2020-02-05,115.137847,248.7627185,,590.1681986
2020-02-06,115.137847,248.7627185,,590.1681986
2020-02-07,115.137847,248.7627185,,590.1681986
2020-02-08,115.137847,250.7091571,,629.5128371
2020-02-09,115.137847,250.7091571,,590.1681986
2020-02-10,115.137847,250.7091571,,590.1681986
2020-02-11,115.137847,250.7091571,,590.1681986
2020-02-12,115.137847,250.7091571,,590.1681986
2020-02-13,115.137847,250.7091571,,590.1681986
2020-02-14,115.137847,250.7091571,,590.1681986
2020-02-15,115.137847,250.1276997,,608.5753321
2020-02-16,115.137847,250.1276997,,590.1681986
2020-02-17,115.137847,250.1276997,,590.1681986
