Fecha,Recurso,Código Agente,Combustible,Consumo Combustible (MBTU),Version
2020-01-02,PAIPA 3,HIMG,CARBON,18052.0484,TX5
2020-01-02,PAIPA 4,SOCG,CARBON,29877.26656,TX5
2020-01-02,PROELECTRICA 1,PRIG,GAS,6638,TX5
2020-01-02,TASAJERO 1,TRMG,CARBON,10916.81261,TX5
2020-01-02,TASAJERO 2,TERG,CARBON,30347.80807,TX5
2020-01-02,TEBSAB,TBSG,GAS NI,0,TX5
2020-01-02,TEBSAB,TBSG,GAS,106285.5787,TX5
2020-01-02,TERMOCANDELARIA 1,TCIG,GAS,12340,TX5
2020-01-02,TERMOCANDELARIA 1,TCIG,GAS NI,0,TX5
2020-01-02,TERMOCANDELARIA 1,TCIG,ACPM,0,TX5
2020-01-02,TERMOCANDELARIA 2,TCIG,GAS NI,0,TX5
2020-01-02,TERMOCANDELARIA 2,TCIG,GAS,0,TX5
2020-01-02,TERMOCANDELARIA 2,TCIG,ACPM,0,TX5
2020-01-02,TERMOCENTRO CC,ISGG,GAS,0,TX5
2020-01-02,TERMOCENTRO CC,ISGG,QUEROSENE,0,TX5
2020-01-02,TERMODORADA 1,EPMG,ACPM,0,TX5
2020-01-02,TERMODORADA 1,EPMG,GAS,0,TX5
2020-01-02,TERMOEMCALI 1,TEMG,GAS,0,TX5
2020-01-02,TERMONORTE,TMNG,ACPM,431,TX5
2020-01-02,TERMONORTE,TMNG,GAS,2951,TX5
2020-01-02,TERMONORTE,TMNG,COMBUSTOLEO,0,TX5
2020-01-02,TERMOSIERRAB,EPMG,ACPM,0,TX5
2020-01-02,TERMOSIERRAB,EPMG,GAS,36855.847,TX5
2020-01-02,TERMOVALLE 1,TMVG,ACPM,0,TX5
2020-01-02,TERMOVALLE 1,TMVG,GAS,0,TX5
2020-01-02,TERMOYOPAL 2,TYPG,GAS,9687.58,TX5
2020-01-02,ZIPAEMG 2,ENDG,CARBON,0.263214,TX5
2020-01-02,ZIPAEMG 4,ENDG,CARBON,11622.1988,TX5
2020-01-02,ZIPAEMG 5,ENDG,CARBON,5789.835224,TX5
2020-01-03,BARRANQUILLA 3,TBSG,COMBUSTOLEO,0,TX5
2020-01-03,BARRANQUILLA 3,TBSG,GAS NI,0,TX5
2020-01-03,BARRANQUILLA 3,TBSG,GAS,0,TX5
2020-01-03,BARRANQUILLA 4,TBSG,GAS NI,0,TX5
2020-01-03,BARRANQUILLA 4,TBSG,GAS,0,TX5
2020-01-03,BARRANQUILLA 4,TBSG,COMBUSTOLEO,0,TX5
2020-01-03,CARTAGENA 1,ENDG,COMBUSTOLEO,0,TX5
2020-01-03,CARTAGENA 1,ENDG,GAS,0,TX5
2020-01-03,CARTAGENA 2,ENDG,GAS,0,TX5
2020-01-03,CARTAGENA 2,ENDG,COMBUSTOLEO,0,TX5
2020-01-03,CARTAGENA 3,ENDG,COMBUSTOLEO,0,TX5
2020-01-03,CARTAGENA 3,ENDG,GAS,0,TX5
2020-01-03,FLORES 1,TMFG,GAS NI,0,TX5
2020-01-03,FLORES 1,TMFG,GAS,2516.71,TX5
2020-01-03,FLORES 4B,TMFG,GAS NI,0,TX5
2020-01-03,FLORES 4B,TMFG,GAS,19665.5,TX5
2020-01-03,GECELCA 3,GECG,CARBON,38132.18,TX5
2020-01-03,GECELCA 32,GECG,CARBON,55855.89,TX5
2020-01-03,GUAJIRA 1,GECG,GAS,0,TX5
2020-01-03,GUAJIRA 1,GECG,CARBON,0,TX5
2020-01-03,GUAJIRA 2,GECG,CARBON,0,TX5
2020-01-03,GUAJIRA 2,GECG,GAS,0.3,TX5
2020-01-03,MERILECTRICA 1,EPSG,GAS,0,TX5
2020-01-03,PAIPA 1,HIMG,CARBON,11117.81793,TX5
2020-01-03,PAIPA 2,HIMG,CARBON,18655.12343,TX5
2020-01-03,PAIPA 3,HIMG,CARBON,16451.54618,TX5
2020-01-03,PAIPA 4,SOCG,CARBON,33170.73665,TX5
2020-01-03,PROELECTRICA 1,PRIG,GAS,9801,TX5
2020-01-03,TASAJERO 1,TRMG,CARBON,11905.48728,TX5
2020-01-03,TASAJERO 2,TERG,CARBON,34352.14051,TX5
2020-01-03,TEBSAB,TBSG,GAS NI,0,TX5
2020-01-03,TEBSAB,TBSG,GAS,77073.5473,TX5
2020-01-03,TERMOCANDELARIA 1,TCIG,GAS,2128,TX5
2020-01-03,TERMOCANDELARIA 1,TCIG,GAS NI,0,TX5
2020-01-03,TERMOCANDELARIA 1,TCIG,ACPM,0,TX5
2020-01-03,TERMOCANDELARIA 2,TCIG,GAS NI,0,TX5
2020-01-03,TERMOCANDELARIA 2,TCIG,ACPM,0,TX5
2020-01-03,TERMOCANDELARIA 2,TCIG,GAS,14392,TX5
2020-01-03,TERMOCENTRO CC,ISGG,QUEROSENE,0,TX5
2020-01-03,TERMOCENTRO CC,ISGG,GAS,0,TX5
2020-01-03,TERMODORADA 1,EPMG,ACPM,0,TX5
2020-01-03,TERMODORADA 1,EPMG,GAS,0,TX5
2020-01-03,TERMOEMCALI 1,TEMG,GAS,0,TX5
2020-01-03,TERMONORTE,TMNG,ACPM,624,TX5
2020-01-03,TERMONORTE,TMNG,COMBUSTOLEO,0,TX5
2020-01-03,TERMONORTE,TMNG,GAS,4231,TX5
2020-01-03,TERMOSIERRAB,EPMG,GAS,36701.315,TX5
2020-01-03,TERMOSIERRAB,EPMG,ACPM,0,TX5
2020-01-03,TERMOVALLE 1,TMVG,GAS,0,TX5
2020-01-03,TERMOVALLE 1,TMVG,ACPM,0,TX5
2020-01-03,TERMOYOPAL 2,TYPG,GAS,9623.79,TX5
2020-01-03,ZIPAEMG 3,ENDG,CARBON,6464.110645,TX5
2020-01-03,ZIPAEMG 4,ENDG,CARBON,18520.02587,TX5
2020-01-04,BARRANQUILLA 3,TBSG,GAS,0,TX5
2020-01-04,BARRANQUILLA 3,TBSG,COMBUSTOLEO,0,TX5
2020-01-04,BARRANQUILLA 3,TBSG,GAS NI,0,TX5
2020-01-04,BARRANQUILLA 4,TBSG,GAS,0,TX5
2020-01-04,BARRANQUILLA 4,TBSG,COMBUSTOLEO,0,TX5
2020-01-04,BARRANQUILLA 4,TBSG,GAS NI,0,TX5
2020-01-04,CARTAGENA 1,ENDG,GAS,0,TX5
2020-01-04,CARTAGENA 1,ENDG,COMBUSTOLEO,0,TX5
2020-01-04,CARTAGENA 2,ENDG,COMBUSTOLEO,0,TX5
2020-01-04,CARTAGENA 2,ENDG,GAS,0,TX5
2020-01-04,CARTAGENA 3,ENDG,COMBUSTOLEO,0,TX5
2020-01-04,CARTAGENA 3,ENDG,GAS,0,TX5
2020-01-04,FLORES 1,TMFG,GAS NI,0,TX5
2020-01-04,FLORES 1,TMFG,GAS,13731.71,TX5
2020-01-04,FLORES 4B,TMFG,GAS NI,0,TX5
2020-01-04,FLORES 4B,TMFG,GAS,40594.36,TX5
2020-01-04,GECELCA 3,GECG,CARBON,38818.27,TX5
2020-01-04,GECELCA 32,GECG,CARBON,58330.35,TX5
2020-01-04,GUAJIRA 1,GECG,GAS,0,TX5
2020-01-04,GUAJIRA 1,GECG,CARBON,0,TX5
2020-01-04,GUAJIRA 2,GECG,GAS,5275.26,TX5
2020-01-04,GUAJIRA 2,GECG,CARBON,0,TX5
2020-01-04,MERILECTRICA 1,EPSG,GAS,0,TX5
2020-01-04,PAIPA 1,HIMG,CARBON,8711.601847,TX5
2020-01-04,PAIPA 2,HIMG,CARBON,10671.83951,TX5
2020-01-04,PAIPA 3,HIMG,CARBON,17680.93041,TX5
2020-01-04,PAIPA 4,SOCG,CARBON,36713.12071,TX5
2020-01-04,PROELECTRICA 1,PRIG,GAS,8952,TX5
2020-01-04,TASAJERO 1,TRMG,CARBON,12968.17291,TX5
2020-01-04,TASAJERO 2,TERG,CARBON,35611.34636,TX5
2020-01-04,TEBSAB,TBSG,GAS,71022.2232,TX5
2020-01-04,TEBSAB,TBSG,GAS NI,0,TX5
2020-01-04,TERMOCANDELARIA 1,TCIG,ACPM,0,TX5
2020-01-04,TERMOCANDELARIA 1,TCIG,GAS NI,0,TX5
2020-01-04,TERMOCANDELARIA 1,TCIG,GAS,8789,TX5
2020-01-04,TERMOCANDELARIA 2,TCIG,GAS NI,0,TX5
2020-01-04,TERMOCANDELARIA 2,TCIG,GAS,3410,TX5
2020-01-04,TERMOCANDELARIA 2,TCIG,ACPM,0,TX5
2020-01-04,TERMOCENTRO CC,ISGG,GAS,0,TX5
2020-01-04,TERMOCENTRO CC,ISGG,QUEROSENE,0,TX5
2020-01-04,TERMODORADA 1,EPMG,ACPM,0,TX5
2020-01-04,TERMODORADA 1,EPMG,GAS,0,TX5
2020-01-04,TERMOEMCALI 1,TEMG,GAS,0,TX5
2020-01-04,TERMONORTE,TMNG,ACPM,270.24,TX5
2020-01-04,TERMONORTE,TMNG,COMBUSTOLEO,0,TX5
2020-01-04,TERMONORTE,TMNG,GAS,9640.62,TX5
2020-01-04,TERMOSIERRAB,EPMG,GAS,36615.66,TX5
2020-01-04,TERMOSIERRAB,EPMG,ACPM,0,TX5
2020-01-04,TERMOVALLE 1,TMVG,ACPM,0,TX5
2020-01-04,TERMOVALLE 1,TMVG,GAS,0,TX5
2020-01-04,TERMOYOPAL 2,TYPG,GAS,9633.98,TX5
2020-01-04,ZIPAEMG 3,ENDG,CARBON,14526.29732,TX5
2020-01-04,ZIPAEMG 4,ENDG,CARBON,12822.85006,TX5
2020-01-05,BARRANQUILLA 3,TBSG,GAS,0,TX5
2020-01-05,BARRANQUILLA 3,TBSG,COMBUSTOLEO,0,TX5
2020-01-05,BARRANQUILLA 3,TBSG,GAS NI,0,TX5
2020-01-05,BARRANQUILLA 4,TBSG,COMBUSTOLEO,0,TX5
2020-01-05,BARRANQUILLA 4,TBSG,GAS NI,0,TX5
2020-01-05,BARRANQUILLA 4,TBSG,GAS,0,TX5
2020-01-05,CARTAGENA 1,ENDG,GAS,0,TX5
2020-01-05,CARTAGENA 1,ENDG,COMBUSTOLEO,0,TX5
2020-01-05,CARTAGENA 2,ENDG,COMBUSTOLEO,0,TX5
2020-01-05,CARTAGENA 2,ENDG,GAS,0,TX5
2020-01-05,CARTAGENA 3,ENDG,COMBUSTOLEO,0,TX5
2020-01-05,CARTAGENA 3,ENDG,GAS,0,TX5
2020-01-05,FLORES 1,TMFG,GAS,941.76,TX5
2020-01-05,FLORES 1,TMFG,GAS NI,0,TX5
2020-01-05,FLORES 4B,TMFG,GAS NI,0,TX5
2020-01-05,FLORES 4B,TMFG,GAS,40520.99,TX5
2020-01-05,GECELCA 3,GECG,CARBON,40004.16,TX5
2020-01-05,GECELCA 32,GECG,CARBON,58447.36,TX5
2020-01-05,GUAJIRA 1,GECG,GAS,0,TX5
2020-01-05,GUAJIRA 1,GECG,CARBON,0,TX5
2020-01-05,GUAJIRA 2,GECG,GAS,10470.07,TX5
2020-01-05,GUAJIRA 2,GECG,CARBON,15070.75,TX5
2020-01-05,MERILECTRICA 1,EPSG,GAS,0,TX5
