iter	RMSE
0	434.1340031
1	421.8465212
2	409.6521727
3	397.3028661
4	385.6512649
5	374.8181126
6	364.1377683
7	353.8561272
8	343.6086327
9	333.5826096
10	324.219109
11	315.2743365
12	306.4050081
13	297.9883319
14	289.8711096
15	282.0093674
16	274.3693069
17	267.0492184
18	260.0587153
19	253.4222931
20	247.0153192
21	240.709205
22	234.5617277
23	228.7414478
24	223.1212401
25	217.8102733
26	212.8240683
27	207.8371132
28	203.0008235
29	198.5543002
30	194.1691976
31	189.9259077
32	185.8764251
33	182.0072597
34	178.4575918
35	174.7988329
36	171.3062661
37	168.0421576
38	164.8946254
39	162.0391384
40	159.1028991
41	156.3698942
42	153.7836488
43	151.2136732
44	148.8845089
45	146.5631779
46	144.4539061
47	142.514082
48	140.6028312
49	138.7501206
50	136.9160089
51	135.1979576
52	133.7104173
53	132.0618421
54	130.5623026
55	129.1398105
56	127.7365272
57	126.3279952
58	125.1519819
59	124.0260278
60	122.8997572
61	121.7933012
62	120.8137063
63	119.8681539
64	118.9516002
65	118.0702903
66	117.2479944
67	116.4476616
68	115.624558
69	114.796064
70	114.1403799
71	113.4898313
72	112.8235464
73	112.266233
74	111.7471984
75	111.2069477
76	110.6701459
77	110.1451379
78	109.6565359
79	109.1673445
80	108.6861755
81	108.2052109
82	107.7514779
83	107.255984
84	106.8749904
85	106.5547779
86	106.1672073
87	105.748142
88	105.3188905
89	104.9134103
90	104.5332122
91	104.2313564
92	103.9276242
93	103.619903
94	103.3411942
95	103.0203435
96	102.6400174
97	102.354274
98	102.0963809
99	101.8175353
100	101.5649779
101	101.354673
102	101.0842718
103	100.820035
104	100.5336454
105	100.3272744
106	100.1541995
107	99.94502033
108	99.6891426
109	99.50525752
110	99.28835272
111	99.08868721
112	98.88445642
113	98.72521595
114	98.51125576
115	98.31564067
116	98.18726175
117	98.00312544
118	97.81052343
119	97.72357903
120	97.55380699
121	97.42020926
122	97.2881945
123	97.11356523
124	96.93420934
125	96.79200623
126	96.65061819
127	96.5553755
128	96.42047617
129	96.2559262
130	96.13660551
131	96.02712991
132	95.8743173
133	95.77153852
134	95.6308816
135	95.46183794
136	95.23020226
137	95.10907952
138	95.00270866
139	94.88619928
140	94.74229581
141	94.61203571
142	94.48216079
143	94.32194788
144	94.22701204
145	94.07570147
146	93.93150429
147	93.82574755
148	93.74539823
149	93.56816072
150	93.48045071
151	93.37620102
152	93.28666424
153	93.20493246
154	93.07579156
155	92.93837861
156	92.85991408
157	92.75063541
158	92.64496011
159	92.58763694
160	92.47718491
161	92.3846539
162	92.30685439
163	92.20618141
164	92.07220867
165	91.88677614
166	91.80455027
167	91.71957676
168	91.62918173
169	91.52879572
170	91.39719638
171	91.30990808
172	91.23851657
173	91.19911731
174	91.10133284
175	91.00608064
176	90.93840231
177	90.82278395
178	90.76643466
179	90.71850226
180	90.61375525
181	90.48485743
182	90.36929101
183	90.25490482
184	90.14337993
185	90.02109488
186	89.93428073
187	89.82445878
188	89.77759297
189	89.65144973
190	89.51605404
191	89.45524831
192	89.35143975
193	89.27857406
194	89.22403081
195	89.16175207
196	89.0625298
197	88.9728071
198	88.90361767
199	88.81659288
200	88.66159152
201	88.62854462
202	88.56809108
203	88.46173916
204	88.33112994
205	88.29554402
206	88.16328438
207	88.10196666
208	88.02798472
209	87.91649116
210	87.87996805
211	87.84005646
212	87.79607207
213	87.72937664
214	87.60372559
215	87.55949842
216	87.53203221
217	87.46396102
218	87.40086228
219	87.29109594
220	87.25766243
221	87.19244331
222	87.12695257
223	87.05399668
224	86.98790565
225	86.96323384
226	86.90044788
227	86.83209794
228	86.79275954
229	86.7231632
230	86.65766593
231	86.62338514
232	86.56536444
233	86.5272862
234	86.46967947
235	86.35963692
236	86.25767045
237	86.19625784
238	86.06322304
239	85.98499816
240	85.87941158
241	85.83172357
242	85.77532033
243	85.68512867
244	85.60001331
245	85.48087304
246	85.36036267
247	85.2522271
248	85.21835677
249	85.15339631
250	85.08434928
251	84.97832068
252	84.92873777
253	84.86985051
254	84.79683712
255	84.69101767
256	84.60299131
257	84.57641827
258	84.4774446
259	84.38034574
260	84.29706363
261	84.22103418
262	84.15424328
263	84.07556179
264	84.02276472
265	83.95212914
266	83.88772933
267	83.83630517
268	83.76522871
269	83.71615792
270	83.63732164
271	83.56010814
272	83.47637623
273	83.424051
274	83.33915104
275	83.30919238
276	83.24012936
277	83.22072994
278	83.15805953
279	83.07608898
280	83.00094565
281	82.96697319
282	82.8632815
283	82.80004301
284	82.70277119
285	82.62459386
286	82.57616391
287	82.46157269
288	82.40777274
289	82.3080737
290	82.24643881
291	82.20058003
292	82.16140258
293	82.09596536
294	81.98469289
295	81.93949059
296	81.90928762
297	81.8225075
298	81.75462622
299	81.71600978
300	81.6668048
301	81.5700647
302	81.45894276
303	81.38851566
304	81.3435016
305	81.28156599
306	81.21257455
307	81.1723536
308	81.08105871
309	81.03807768
310	80.95583214
311	80.91242662
312	80.8766064
313	80.79366844
314	80.7344644
315	80.70978366
316	80.64435582
317	80.58403634
318	80.50805514
319	80.46302161
320	80.37272211
321	80.32482816
322	80.24917676
323	80.17352429
324	80.07373976
325	80.00828587
326	79.94388146
327	79.89720984
328	79.84868039
329	79.80340008
330	79.7424731
331	79.72151051
332	79.64687699
333	79.56726743
334	79.50376088
335	79.46770718
336	79.43801876
337	79.40956111
338	79.36155353
339	79.30658538
340	79.24054178
341	79.2118793
342	79.13536215
343	79.04316849
344	79.00454038
345	78.96134133
346	78.94581139
347	78.89562475
348	78.84370434
349	78.77680167
350	78.72309681
351	78.70571713
352	78.59998024
353	78.52719273
354	78.48766499
355	78.42061881
356	78.35537386
357	78.29418046
358	78.22268944
359	78.16003462
360	78.10889831
361	78.05497972
362	78.01687335
363	77.97422986
364	77.90614715
365	77.87780372
366	77.81669951
367	77.78512027
368	77.72899609
369	77.65103266
370	77.57893114
371	77.55897269
372	77.49797842
373	77.44712685
374	77.41952796
375	77.36647754
376	77.2872175
377	77.2618342
378	77.212633
379	77.14819809
380	77.08371368
381	77.02416693
382	76.99953124
383	76.97341138
384	76.89698515
385	76.84022782
386	76.79273312
387	76.76479738
388	76.72099337
389	76.67003754
390	76.61251871
391	76.55439818
392	76.49942673
393	76.45037825
394	76.40100243
395	76.35826264
396	76.28249858
397	76.26411546
398	76.22133069
399	76.182831
400	76.16019109
401	76.12170261
402	76.09005511
403	76.05121929
404	75.99463887
405	75.97719711
406	75.93233407
407	75.89568451
408	75.87868871
409	75.84046658
410	75.7871937
411	75.75781798
412	75.74133957
413	75.71630223
414	75.67947127
415	75.64145565
416	75.59970739
417	75.50935768
418	75.41356564
419	75.34994168
420	75.28232363
421	75.23210701
422	75.13559687
423	75.07432407
424	75.02969767
425	74.97081028
426	74.93562674
427	74.85400354
428	74.80841338
429	74.75379939
430	74.71270207
431	74.673187
432	74.62361551
433	74.60123385
434	74.50571992
435	74.48545925
436	74.45030452
437	74.40932566
438	74.32385018
439	74.28836849
440	74.25559637
441	74.21679922
442	74.19717785
443	74.17481596
444	74.13595263
445	74.11480335
446	74.04892929
447	74.00335147
448	73.96275226
449	73.93181198
450	73.89996005
451	73.85932646
452	73.84039149
453	73.78831873
454	73.76160699
455	73.71012622
456	73.65139707
457	73.58765047
458	73.56762155
459	73.549122
460	73.50977683
461	73.49303801
462	73.43893005
463	73.40138799
464	73.36500934
465	73.3127377
466	73.28303393
467	73.2328617
468	73.1833396
469	73.1620248
470	73.09802653
471	73.07711601
472	73.03486989
473	72.98446133
474	72.93924099
475	72.89877513
476	72.87444278
477	72.84692594
478	72.78818321
479	72.75630256
480	72.68662208
481	72.62978576
482	72.5738314
483	72.51166055
484	72.4591627
485	72.43976611
486	72.38922476
487	72.33070879
488	72.30337979
489	72.2739877
490	72.19800197
491	72.14290166
492	72.12764777
493	72.09083219
494	72.05378503
495	72.01529428
496	71.96551531
497	71.91578577
498	71.87542334
499	71.86066233
500	71.81790022
501	71.76454962
502	71.71191835
503	71.66466136
504	71.65026935
505	71.61988409
506	71.59963143
507	71.55979787
508	71.5337384
509	71.50956633
510	71.46350259
511	71.41896547
512	71.37191216
513	71.34507368
514	71.27882784
515	71.25255834
516	71.18222702
517	71.14227499
518	71.09507239
519	71.07023842
520	71.04186847
521	70.97970941
522	70.95340683
523	70.91248219
524	70.87060203
525	70.8308135
526	70.81709379
527	70.78643342
528	70.75922764
529	70.72706077
530	70.68949818
531	70.66032113
532	70.62761527
533	70.59898437
534	70.5774695
535	70.52705776
536	70.49539169
537	70.4802593
538	70.44194738
539	70.41271856
540	70.3539983
541	70.3207625
542	70.2944564
543	70.27793583
544	70.21273032
545	70.19487617
546	70.14450422
547	70.10721942
548	70.02252636
549	69.96836499
550	69.94537319
551	69.87905073
552	69.83000819
553	69.77278046
554	69.74083204
555	69.71507929
556	69.64992598
557	69.6312609
558	69.61488994
559	69.57780163
560	69.5316147
561	69.47152317
562	69.40993368
563	69.38793483
564	69.3572439
565	69.3160219
566	69.2533222
567	69.20323058
568	69.17915176
569	69.10695517
570	69.0471561
571	68.99369331
572	68.97598385
573	68.93657517
574	68.90232063
575	68.85218051
576	68.77373562
577	68.74262141
578	68.69488989
579	68.65710334
580	68.61960231
581	68.60109317
582	68.5772676
583	68.54506286
584	68.48750096
585	68.45295227
586	68.40346842
587	68.36909509
588	68.3230308
589	68.28482991
590	68.2457632
591	68.19677693
592	68.17523624
593	68.13857174
594	68.10884424
595	68.07557411
596	68.04562485
597	68.00642601
598	67.93556284
599	67.90065767
600	67.85914106
601	67.8063945
602	67.78316105
603	67.74425168
604	67.69441751
605	67.68460386
606	67.63288777
607	67.60355852
608	67.55076515
609	67.50663409
610	67.48909894
611	67.41981848
612	67.3658687
613	67.33618694
614	67.27410513
615	67.23723956
616	67.20621882
617	67.15110833
618	67.11944228
619	67.08711191
620	67.04433843
621	67.01284068
622	66.96725281
623	66.94894245
624	66.8920845
625	66.85340964
626	66.82186895
627	66.78479404
628	66.71282341
629	66.70256063
630	66.68501674
631	66.6556571
632	66.61211406
633	66.59745868
634	66.5826787
635	66.55504486
636	66.53967756
637	66.48122067
638	66.43297391
639	66.39718099
640	66.36786666
641	66.3560647
642	66.3425009
643	66.30754981
644	66.2960293
645	66.2626142
646	66.24039537
647	66.22898715
648	66.17508459
649	66.14327092
650	66.10765685
651	66.07265363
652	66.05109943
653	66.03697567
654	65.99400578
655	65.94277142
656	65.90066478
657	65.88641743
658	65.85516375
659	65.82203963
660	65.78194644
661	65.76511629
662	65.71614673
663	65.70511096
664	65.68477497
665	65.61855694
666	65.56691633
667	65.54020159
668	65.52955146
669	65.48500369
670	65.44614124
671	65.42751412
672	65.41712047
673	65.40993975
674	65.37814981
675	65.33997027
676	65.29123521
677	65.28421576
678	65.20629248
679	65.17282703
680	65.15350797
681	65.12468574
682	65.10859914
683	65.07717296
684	65.06721781
685	65.04572661
686	65.00414042
687	64.99451894
688	64.97351921
689	64.95674882
690	64.92484589
691	64.89389896
692	64.87520642
693	64.84679022
694	64.80503049
695	64.78912748
696	64.76313568
697	64.69940818
698	64.68421474
699	64.6696861
700	64.59427236
701	64.5806038
702	64.53892201
703	64.52821553
704	64.50458562
705	64.47670225
706	64.46940756
707	64.43727193
708	64.40642179
709	64.36630191
710	64.32735887
711	64.31361035
712	64.30045148
713	64.28260857
714	64.25618811
715	64.22696147
716	64.17930973
717	64.17203022
718	64.12616542
719	64.09202802
720	64.06915895
721	64.0110562
722	63.99703728
723	63.97626945
724	63.91749508
725	63.88623191
726	63.879167
727	63.8420658
728	63.82515323
729	63.76929473
730	63.75993485
731	63.70880805
732	63.67098091
733	63.62541874
734	63.60252727
735	63.59018136
736	63.53904713
737	63.49036593
738	63.45270112
739	63.42708013
740	63.42165948
741	63.41250654
742	63.37883578
743	63.33253877
744	63.32599091
745	63.31717354
746	63.28387727
747	63.2639732
748	63.22988339
749	63.19459444
750	63.16078964
751	63.1312322
752	63.09691671
753	63.07690364
754	63.06828683
755	63.05981313
756	63.04140567
757	63.00945564
758	62.95625012
759	62.94506966
760	62.89344905
761	62.87836071
762	62.86665729
763	62.86034377
764	62.83476841
765	62.82657976
766	62.78343812
767	62.74513893
768	62.69614706
769	62.644677
770	62.63667265
771	62.62888008
772	62.58110805
773	62.57634613
774	62.52473464
775	62.5138727
776	62.48148973
