iter	Passed	Remaining
519	5631	2783
520	5642	2772
521	5654	2762
522	5664	2751
523	5675	2740
524	5686	2729
525	5698	2719
526	5708	2708
527	5719	2697
528	5730	2686
529	5741	2675
530	5752	2665
531	5764	2654
532	5775	2643
533	5786	2633
534	5797	2622
535	5807	2611
536	5818	2600
537	5828	2589
538	5839	2578
539	5850	2567
540	5860	2556
541	5871	2545
542	5882	2534
543	5892	2523
544	5903	2513
545	5914	2502
546	5924	2491
547	5935	2480
548	5946	2469
549	5956	2458
550	5967	2447
551	5978	2436
552	5989	2426
553	6001	2415
554	6012	2404
555	6023	2394
556	6035	2383
557	6046	2373
558	6057	2362
559	6068	2351
560	6079	2340
561	6090	2329
562	6101	2319
563	6112	2308
564	6123	2297
565	6135	2287
566	6146	2276
567	6157	2265
568	6167	2254
569	6178	2243
570	6189	2233
571	6200	2222
572	6211	2211
573	6222	2200
574	6233	2189
575	6244	2179
576	6255	2168
577	6266	2157
578	6277	2146
579	6287	2135
580	6298	2124
581	6309	2113
582	6319	2102
583	6330	2092
584	6342	2081
585	6352	2070
586	6363	2059
587	6374	2048
588	6384	2037
589	6395	2027
590	6405	2016
591	6416	2005
592	6427	1994
593	6438	1983
594	6448	1972
595	6459	1961
596	6470	1950
597	6481	1940
598	6492	1929
599	6503	1918
600	6514	1907
601	6526	1897
602	6537	1886
603	6548	1875
604	6559	1864
605	6570	1853
606	6580	1843
607	6591	1832
608	6602	1821
609	6613	1810
610	6623	1799
611	6634	1788
612	6645	1777
613	6655	1766
614	6666	1756
615	6677	1745
616	6689	1734
617	6700	1723
618	6711	1713
619	6722	1702
620	6733	1691
621	6744	1680
622	6755	1669
623	6766	1659
624	6778	1648
625	6789	1637
626	6800	1626
627	6810	1615
628	6820	1604
629	6831	1594
630	6841	1583
631	6852	1572
632	6863	1561
633	6874	1550
634	6884	1539
635	6895	1528
636	6906	1517
637	6917	1507
638	6928	1496
639	6939	1485
640	6950	1474
641	6960	1463
642	6971	1452
643	6983	1442
644	6993	1431
645	7004	1420
646	7015	1409
647	7026	1398
648	7037	1388
649	7048	1377
650	7059	1366
651	7070	1355
652	7081	1344
653	7091	1333
654	7102	1322
655	7113	1312
656	7124	1301
657	7135	1290
658	7146	1279
659	7157	1268
660	7167	1257
661	7178	1247
662	7189	1236
663	7200	1225
664	7210	1214
665	7222	1203
666	7232	1192
667	7241	1181
668	7253	1170
669	7265	1160
670	7276	1149
671	7287	1138
672	7297	1127
673	7308	1116
674	7319	1106
675	7330	1095
676	7342	1084
677	7352	1073
678	7363	1062
679	7374	1051
680	7385	1041
681	7397	1030
682	7408	1019
683	7418	1008
684	7429	997
685	7439	986
686	7451	976
687	7461	965
688	7472	954
689	7485	943
690	7496	933
691	7507	922
692	7518	911
693	7529	900
694	7539	889
695	7551	878
696	7563	868
697	7574	857
698	7585	846
699	7596	835
700	7608	824
701	7618	813
702	7629	803
703	7640	792
704	7651	781
705	7662	770
706	7673	759
707	7685	748
708	7696	738
709	7706	727
710	7718	716
711	7728	705
712	7738	694
713	7748	683
714	7758	672
715	7768	661
716	7779	650
717	7789	640
718	7799	629
719	7810	618
720	7820	607
721	7831	596
722	7841	585
723	7851	574
724	7861	563
725	7871	552
726	7881	542
727	7891	531
728	7901	520
729	7912	509
730	7922	498
731	7932	487
732	7942	476
733	7950	465
734	7956	454
735	7963	443
736	7975	432
737	7987	422
738	7998	411
739	8009	400
740	8021	389
741	8030	378
742	8037	367
743	8046	356
744	8057	346
745	8065	335
746	8072	324
747	8081	313
748	8093	302
749	8107	291
750	8118	281
751	8128	270
752	8139	259
753	8149	248
754	8161	237
755	8172	227
756	8183	216
757	8195	205
758	8206	194
759	8217	183
760	8229	173
761	8242	162
762	8252	151
763	8262	140
764	8274	129
765	8284	118
766	8295	108
767	8307	97
768	8317	86
769	8327	75
770	8338	64
771	8349	54
772	8361	43
773	8371	32
774	8382	21
775	8392	10
776	8403	0
